"soil analysis, Colby, KS, August 1-2, 2024, sample depth 0-12 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Plot ID,Lat,Lng,Sample ID,Soil pH,Excess Lime,Organic matter (%),Nitrate-Nitrogen (ppm),Nitrate-Nitrogen (lbs of N/acre),Phosphorus (ppm),Potassium (ppm),Sulfur (ppm),Sulfur (lbs of S/acre),Calicium (ppm),Magnesium (ppm),Sodium (ppm),Zinc (ppm),Iron (ppm),Manganese (ppm),Copper (ppm),Boron (ppm),CEC (meq per 100g),CEC K (%),CEC Ca (%),CEC Mg (%),CEC Na (%),,,,,,,,
6,2001,39.38654358,-101.066231,53,7.2,No,2.3,13.9,50,27,609,13,47,2450,556,62,2.3,53,192,2.4,1.2,19,8,65,25,1,,,,,,,,
16,2002,39.38654133,-101.0658418,54,7.7,No,1.9,18.3,66,23,590,16,58,3270,554,52,2,44,176,2.2,1.5,23,7,72,20,1,,,,,,,,
28,2003,39.38653908,-101.0654526,55,7.5,No,2.0,45.5,164,25,534,13,47,3070,603,60,1.7,45,162,2.6,1.5,22,6,70,23,1,,,,,,,,
2,1903,39.38645672,-101.0654532,56,7.4,No,2.2,28.3,102,29,617,16,58,2920,646,56,1.8,43,164,2.6,1.5,22,7,67,25,1,,,,,,,,
29,1902,39.38645897,-101.0658423,57,7.8,Lo,1.9,23.5,85,20,594,16,58,3550,536,49,1.6,39,164,2.4,1.6,24,6,74,19,1,,,,,,,,
22,1901,39.38646122,-101.0662315,58,6.9,No,2.4,49,176,28,663,13,47,2400,543,58,2,55,197,2.5,1.1,18,9,65,24,1,,,,,,,,
25,1801,39.38637886,-101.066232,59,7.1,No,2.2,46.1,166,32,659,19,68,6480,540,59,2.8,56,203,2.6,1.1,19,9,66,24,1,,,,,,,,
18,1802,39.38637661,-101.0658428,60,7.7,No,2.1,42.8,154,25,639,20,72,3530,557,48,1.9,41,168,2.5,1.6,24,7,73,19,1,,,,,,,,
7,1803,39.38637435,-101.0654537,61,7.4,No,2.0,16.4,59,27,585,13,47,2900,612,55,2,44,157,2.4,1.4,21,7,68,24,1,,,,,,,,
33,1703,39.38629199,-101.0654542,62,7.4,No,2.3,18.4,66,25,606,19,68,3060,682,59,6.5,44,170,2.6,1.5,23,7,67,25,1,,,,,,,,
35,1702,39.38629425,-101.0658433,63,7.5,No,1.9,18.3,66,33,557,19,68,3090,555,62,5.7,43,146,2.4,1.5,22,7,71,21,1,,,,,,,,
14,1701,39.3862965,-101.0662325,64,7.1,No,2.3,12.6,45,36,583,10,36,2280,522,62,2,56,191,2.3,1.1,18,9,65,25,2,,,,,,,,
31,1601,39.38621414,-101.066233,65,7.1,No,2.5,4.2,15,52,632,6,22,2390,546,58,6,59,189,2.5,1.1,18,9,65,25,1,,,,,,,,
32,1602,39.38621189,-101.0658438,66,7.6,No,1.8,19.4,70,21,462,13,47,2670,502,52,1.5,38,145,2.4,1.1,19,6,70,22,1,,,,,,,,
34,1603,39.38620963,-101.0654547,67,7.4,No,2.0,31.4,113,39,627,18,65,3220,682,67,2.9,46,176,2.6,1.5,24,7,68,24,1,,,,,,,,
3,1502,39.38612963,-101.0658444,68,7.6,No,2.1,16,58,23,632,13,47,3270,583,53,5.2,40,162,2.5,1.7,23,7,71,21,1,,,,,,,,
20,1501,39.38613188,-101.0662335,69,6.9,No,2.6,5.9,21,51,615,7,25,2370,543,51,1.9,69,200,2.5,1,18,9,65,25,1,,,,,,,,
